STATION,STATION_NAME,DATE,HPCP
COOP:170100,ACADIA NATIONAL PARK ME US,20050101 00:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050101 01:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050111 14:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050111 15:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050111 16:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050112 23:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050113 01:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050117 04:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050117 15:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050118 20:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050120 01:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050120 03:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050120 04:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20050120 07:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050120 08:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050120 18:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050123 02:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050123 12:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050126 22:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050201 01:00,0.00
COOP:170100,ACADIA NATIONAL PARK ME US,20050201 09:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050202 18:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050202 20:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050301 00:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050301 01:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050301 08:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050301 10:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050401 00:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050401 01:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050414 11:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050421 00:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20050421 02:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20050421 04:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050421 05:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050423 13:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050423 17:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050424 18:00,0.40
COOP:170100,ACADIA NATIONAL PARK ME US,20050424 19:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20050424 20:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050424 21:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050424 22:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050424 23:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20050425 01:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20050425 02:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20050425 03:00,0.30
COOP:170100,ACADIA NATIONAL PARK ME US,20050425 04:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20050425 05:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050425 06:00,0.30
COOP:170100,ACADIA NATIONAL PARK ME US,20050427 18:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050427 19:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050427 20:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20050427 21:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050427 22:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20050427 23:00,0.30
COOP:170100,ACADIA NATIONAL PARK ME US,20050428 00:00,0.30
COOP:170100,ACADIA NATIONAL PARK ME US,20050428 01:00,0.30
COOP:170100,ACADIA NATIONAL PARK ME US,20050428 02:00,0.30
COOP:170100,ACADIA NATIONAL PARK ME US,20050428 03:00,0.40
COOP:170100,ACADIA NATIONAL PARK ME US,20050428 04:00,0.30
COOP:170100,ACADIA NATIONAL PARK ME US,20050428 05:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20050428 06:00,0.30
COOP:170100,ACADIA NATIONAL PARK ME US,20050428 07:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20050428 08:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20050428 09:00,0.50
COOP:170100,ACADIA NATIONAL PARK ME US,20050428 10:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20050428 11:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20050428 12:00,0.50
COOP:170100,ACADIA NATIONAL PARK ME US,20050428 13:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050428 14:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050428 15:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050428 16:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050428 23:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050429 06:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050430 18:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050430 20:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050430 21:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050430 22:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050430 23:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20050501 00:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20050501 01:00,0.20
COOP:170100,ACADIA NATIONAL PARK ME US,20050501 02:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050501 08:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050501 10:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050501 18:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050503 15:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050507 11:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050507 12:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050507 13:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050507 14:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050507 15:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050507 16:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050509 13:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050513 15:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050601 00:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050601 01:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050701 00:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050701 01:00,0.00
COOP:170100,ACADIA NATIONAL PARK ME US,20050701 02:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050801 00:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050801 01:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050801 14:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050801 15:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050901 00:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050901 01:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050901 08:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050901 09:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050901 10:00,999.99
COOP:170100,ACADIA NATIONAL PARK ME US,20050915 18:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050915 22:00,0.10
COOP:170100,ACADIA NATIONAL PARK ME US,20050917 09:00,0.20
